epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,204.317,1.16762,1.8946,1.7007,0.42429,0.57049,0.45463,0.28276,1.29819,1.92245,2.31647,0.0803053,0.000198936,0.000198936
2,407.991,1.1449,1.7379,1.68242,0.38446,0.53978,0.39118,0.2589,1.28485,2.34873,2.1282,0.0604981,0.000391755,0.000391755
3,610.089,1.13015,1.74738,1.6705,0.34535,0.51617,0.41494,0.29224,1.15334,2.553,1.90269,0.0406838,0.000577374,0.000577374
4,818.564,1.08144,1.67046,1.6193,0.26759,0.51219,0.28927,0.18076,1.13226,2.01872,1.87497,0.0208622,0.000755794,0.000755794
5,1019.68,1.05935,1.62716,1.61191,0.44279,0.49512,0.43709,0.30171,1.18375,1.80628,2.04915,0.0010334,0.000927013,0.000927013
6,1226.56,1.04341,1.60003,1.597,0.42053,0.58231,0.52463,0.38551,1.02364,1.5246,1.74425,0.00091,0.00091,0.00091
7,1429.37,1.01838,1.53493,1.57483,0.55004,0.60755,0.58473,0.43236,0.97429,1.3615,1.69655,0.000892,0.000892,0.000892
8,1631.92,0.99876,1.50231,1.55603,0.44827,0.6447,0.56229,0.42024,0.96502,1.41887,1.66094,0.000874,0.000874,0.000874
9,1832.46,0.98282,1.4625,1.54006,0.49348,0.6484,0.59764,0.43979,0.99687,1.29454,1.73005,0.000856,0.000856,0.000856
10,2032.86,0.96936,1.43619,1.52323,0.55792,0.59818,0.63516,0.49771,0.86494,1.14004,1.54141,0.000838,0.000838,0.000838
11,2238.65,0.96297,1.42346,1.51783,0.50292,0.60852,0.59023,0.43417,0.97276,1.25409,1.66309,0.00082,0.00082,0.00082
12,2438.96,0.94476,1.38299,1.51066,0.44268,0.65833,0.59795,0.45268,0.93434,1.37002,1.63495,0.000802,0.000802,0.000802
13,2639.86,0.9398,1.38705,1.4978,0.54855,0.63163,0.6287,0.48025,0.91243,1.25647,1.60286,0.000784,0.000784,0.000784
14,2843.37,0.93142,1.35181,1.49082,0.62373,0.59171,0.62991,0.48539,0.82868,1.27877,1.4965,0.000766,0.000766,0.000766
15,3043.87,0.92496,1.33873,1.48676,0.61506,0.62644,0.66822,0.52196,0.84227,1.08778,1.52708,0.000748,0.000748,0.000748
